"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:550";"Super Cup";1000;"sr:category:102";"Cyprus";"other";1;"";"en-US";0;0
"sr:tournament:562";"Liga 2";1000;"sr:category:77";"Romania";"other";1;"";"en-US";0;0
"sr:tournament:569";"Lega Pro Sec Div, Gir A";1000;"sr:category:31";"Italy";"other";0;"";"en-US";0;0
"sr:tournament:570";"Lega Pro Sec Div, Gir B";1000;"sr:category:31";"Italy";"other";0;"";"en-US";0;0
"sr:tournament:578";"Belarus Cup";1000;"sr:category:91";"Belarus";"other";1;"";"en-US";0;0
"sr:tournament:583";"Bosnia & Herzegovina Cup";1000;"sr:category:158";"Bosnia & Herzegovina";"other";1;"";"en-US";0;0
"sr:tournament:594";"Premiership";1000;"sr:category:148";"New Zealand";"other";1;"";"en-US";0;0
"sr:tournament:602";"AFF Suzuki Cup";64;"sr:category:4";"International";"intl";1;"AFC";"en-US";1;1
"sr:tournament:611";"League Cup";1000;"sr:category:130";"Northern Ireland";"other";1;"";"en-US";0;0
"sr:tournament:615";"FA Cup";1000;"sr:category:291";"Republic of Korea";"other";1;"";"en-US";0;0
"sr:tournament:622";"Gulf Cup";55;"sr:category:4";"International";"intl";1;"";"en-US";1;1
"sr:tournament:626";"V-League";1000;"sr:category:366";"Vietnam";"other";1;"";"en-US";0;0
"sr:tournament:627";"Liga 2, Seria 2";1000;"sr:category:77";"Romania";"other";0;"";"en-US";0;0
"sr:tournament:628";"FA Trophy";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:629";"Premier League";1000;"sr:category:134";"Malta";"other";1;"";"en-US";0;0
"sr:tournament:630";"First Division";1000;"sr:category:134";"Malta";"other";1;"";"en-US";0;0
"sr:tournament:632";"U20 CONMEBOL Ch.ship";1000;"sr:category:392";"International Youth";"intl";0;"";"en-US";0;1
"sr:tournament:633";"FA Trophy";1000;"sr:category:134";"Malta";"other";0;"";"en-US";0;0
"sr:tournament:634";"Premier League";1000;"sr:category:45";"Singapore";"other";1;"";"en-US";0;0
"sr:tournament:637";"African Nations Ch.ship";48;"sr:category:4";"International";"intl";1;"AFR";"en-US";1;1
"sr:tournament:638";"U20 CONCACAF Ch.ship";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:642";"Super Cup";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:643";"Super Cup Women";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:649";"Chinese Super League";26;"sr:category:99";"China";"as";1;"CHN";"en-US";1;0
"sr:tournament:65";"2nd Division";1000;"sr:category:8";"Denmark";"other";1;"";"en-US";0;0
"sr:tournament:655";"Singapore Cup";1000;"sr:category:45";"Singapore";"other";1;"";"en-US";0;0
"sr:tournament:668";"AFC Cup";61;"sr:category:393";"International Clubs";"as";1;"AFC";"en-US";1;1
"sr:tournament:669";"League Cup";1000;"sr:category:45";"Singapore";"other";0;"";"en-US";0;0
"sr:tournament:67";"Div 1, Norra";1000;"sr:category:9";"Sweden";"other";1;"";"en-US";0;0
"sr:tournament:671";"Premier League";1000;"sr:category:296";"Armenia";"other";1;"";"en-US";0;0
"sr:tournament:672";"First League";1000;"sr:category:296";"Armenia";"other";1;"";"en-US";0;0
"sr:tournament:673";"Premier League";1000;"sr:category:201";"Faroe Islands";"other";1;"";"en-US";0;0
"sr:tournament:674";"1st deild";1000;"sr:category:201";"Faroe Islands";"other";1;"";"en-US";0;0
"sr:tournament:675";"1st deild";1000;"sr:category:10";"Iceland";"other";1;"";"en-US";0;0
"sr:tournament:676";"1 Lyga";1000;"sr:category:160";"Lithuania";"other";1;"";"en-US";0;0
"sr:tournament:677";"1.Liga";1000;"sr:category:163";"Latvia";"other";1;"";"en-US";0;0
"sr:tournament:678";"Esiliiga";1000;"sr:category:92";"Estonia";"other";1;"";"en-US";0;0
"sr:tournament:679";"UEFA Europa League";15;"sr:category:393";"International Clubs";"eu";1;"UFA";"en-US";1;1
"sr:tournament:68";"Div 1 Sodra";1000;"sr:category:9";"Sweden";"other";1;"";"en-US";0;0
"sr:tournament:680";"Super Cup";1000;"sr:category:23";"Slovakia";"other";0;"";"en-US";0;0
"sr:tournament:682";"Premier League";1000;"sr:category:278";"Kazakhstan";"other";1;"";"en-US";0;0
"sr:tournament:685";"Divizia Nationala";1000;"sr:category:279";"Moldova";"other";1;"";"en-US";0;0
"sr:tournament:686";"DFB Pokal Women";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:690";"Division Nationale";1000;"sr:category:197";"Luxembourg";"other";1;"";"en-US";0;0
"sr:tournament:691";"Persha Liga";1000;"sr:category:86";"Ukraine";"other";0;"";"en-US";0;0
"sr:tournament:692";"2nd Division";1000;"sr:category:102";"Cyprus";"other";1;"";"en-US";0;0
"sr:tournament:695";"U19 Euro Womens Ch.ship";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:696";"UEFA Champions League Women";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:698";"Super Cup";1000;"sr:category:77";"Romania";"other";1;"";"en-US";0;0
"sr:tournament:699";"Premier Reserve League";1000;"sr:category:252";"England Amateur";"other";0;"";"en-US";0;0
"sr:tournament:7";"UEFA Champions League";14;"sr:category:393";"International Clubs";"eu";1;"UFA";"en-US";1;1
"sr:tournament:70";"2nd Div, Norra Svealand";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:701";"Championship";1000;"sr:category:130";"Northern Ireland";"other";1;"";"en-US";0;0
"sr:tournament:702";"Welsh League Div One";1000;"sr:category:131";"Wales";"other";1;"";"en-US";0;0
"sr:tournament:703";"Primera Nacional";1000;"sr:category:48";"Argentina";"other";1;"";"en-US";0;0
"sr:tournament:704";"National League";1000;"sr:category:270";"Georgia";"other";1;"";"en-US";0;0
"sr:tournament:705";"NB II Keleti";1000;"sr:category:11";"Hungary";"other";1;"";"en-US";0;0
"sr:tournament:706";"NB II Nyugati";1000;"sr:category:11";"Hungary";"other";1;"";"en-US";0;0
"sr:tournament:707";"2nd Division East";1000;"sr:category:78";"Bulgaria";"other";0;"";"en-US";0;0
"sr:tournament:708";"2nd Division West";1000;"sr:category:78";"Bulgaria";"other";0;"";"en-US";0;0
"sr:tournament:709";"Premier League";1000;"sr:category:297";"Azerbaijan";"other";1;"";"en-US";0;0
"sr:tournament:71";"2nd Div, Norrland";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:710";"Divizia A";1000;"sr:category:279";"Moldova";"other";1;"";"en-US";0;0
"sr:tournament:715";"Prva Liga, Rep of Srpska";1000;"sr:category:158";"Bosnia & Herzegovina";"other";0;"";"en-US";0;0
"sr:tournament:716";"Prva Liga, Fed BiH";1000;"sr:category:158";"Bosnia & Herzegovina";"other";0;"";"en-US";0;0
"sr:tournament:717";"Druga Liga Crne Gore";1000;"sr:category:386";"Montenegro";"other";0;"";"en-US";0;0
"sr:tournament:718";"2. MFL";1000;"sr:category:159";"North Macedonia";"other";0;"";"en-US";0;0
"sr:tournament:719";"Huws Gray Alliance";1000;"sr:category:131";"Wales";"other";1;"";"en-US";0;0
"sr:tournament:72";"2nd Div, Sodra Gotaland";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:720";"Kategoria Superiore";1000;"sr:category:257";"Albania";"other";1;"";"en-US";0;0
"sr:tournament:721";"Prva Liga";1000;"sr:category:152";"Serbia";"other";1;"";"en-US";0;0
"sr:tournament:722";"Kategoria e Pare";1000;"sr:category:257";"Albania";"other";0;"";"en-US";0;0
"sr:tournament:723";"Promotion d'Honneur";1000;"sr:category:197";"Luxembourg";"other";1;"";"en-US";0;0
"sr:tournament:724";"2. HNL";1000;"sr:category:14";"Croatia";"other";0;"";"en-US";0;0
"sr:tournament:725";"Super Cup";1000;"sr:category:134";"Malta";"other";1;"";"en-US";0;0
"sr:tournament:726";"National League 2";1000;"sr:category:270";"Georgia";"other";1;"";"en-US";0;0
"sr:tournament:727";"National League";1000;"sr:category:66";"Israel";"other";0;"";"en-US";0;0
"sr:tournament:728";"Setanta Sports Cup";1000;"sr:category:393";"International Clubs";"other";0;"";"en-US";0;1
